"","Sample","Leaf_cm2","Lesion_cm2","Rust_cm2","SampID","Leaf","Replicate","Treatment","Genotype","Region"
"47","G10.T1.R3_L3",9.0114,1.4799,0.3164,"G10.T1.R3","L3","R3","Alternaria","East-1","Eastern"
"48","G10.T1.R4_L1",21.3421,1.9748,0.3026,"G10.T1.R4","L1","R4","Alternaria","East-1","Eastern"
"49","G10.T1.R4_L2",22.9394,4.0268,0.9813,"G10.T1.R4","L2","R4","Alternaria","East-1","Eastern"
"50","G10.T1.R4_L3",27.5174,7.0339,1.9035,"G10.T1.R4","L3","R4","Alternaria","East-1","Eastern"
"51","G10.T2.R1_L2",21.8827,6.8528,2.6558,"G10.T2.R1","L2","R1","Cladosporium","East-1","Eastern"
"52","G10.T2.R2_L1",49.7184,4.4389,0.9385,"G10.T2.R2","L1","R2","Cladosporium","East-1","Eastern"
"53","G10.T2.R2_L3",36.9598,3.5511,0.8349,"G10.T2.R2","L3","R2","Cladosporium","East-1","Eastern"
"54","G10.T2.R3_L2",70.5791,26.5243,9.3454,"G10.T2.R3","L2","R3","Cladosporium","East-1","Eastern"
"55","G10.T2.R3_L3",52.4516,10.3056,2.2176,"G10.T2.R3","L3","R3","Cladosporium","East-1","Eastern"
"56","G10.T2.R4_L1",34.6303,15.2683,3.4208,"G10.T2.R4","L1","R4","Cladosporium","East-1","Eastern"
"57","G10.T2.R4_L2",31.5227,7.787,2.4297,"G10.T2.R4","L2","R4","Cladosporium","East-1","Eastern"
"58","G10.T2.R4_L3",20.0994,5.9801,1.4691,"G10.T2.R4","L3","R4","Cladosporium","East-1","Eastern"
"59","G10.T3.R1_L1",24.964,4.7228,0.3717,"G10.T3.R1","L1","R1","Fusarium","East-1","Eastern"
"60","G10.T3.R1_L2",15.5661,2.0861,0.0596,"G10.T3.R1","L2","R1","Fusarium","East-1","Eastern"
"61","G10.T3.R2_L1",44.5863,15.0262,2.3598,"G10.T3.R2","L1","R2","Fusarium","East-1","Eastern"
"62","G10.T3.R2_L2",50.2173,11.4202,2.731,"G10.T3.R2","L2","R2","Fusarium","East-1","Eastern"
"63","G10.T3.R2_L3",37.1016,7.5566,1.3566,"G10.T3.R2","L3","R2","Fusarium","East-1","Eastern"
"64","G10.T3.R3_L1",25.4054,4.5862,0.6782,"G10.T3.R3","L1","R3","Fusarium","East-1","Eastern"
"65","G10.T3.R3_L2",9.411,2.6665,0.4507,"G10.T3.R3","L2","R3","Fusarium","East-1","Eastern"
"66","G10.T3.R3_L3",13.0166,1.8553,0.5195,"G10.T3.R3","L3","R3","Fusarium","East-1","Eastern"
"67","G10.T3.R4_L1",34.0353,5.8147,1.0809,"G10.T3.R4","L1","R4","Fusarium","East-1","Eastern"
"68","G10.T3.R4_L2",28.5567,7.2606,1.9436,"G10.T3.R4","L2","R4","Fusarium","East-1","Eastern"
"69","G10.T3.R4_L3",36.0905,3.9999,0.9734,"G10.T3.R4","L3","R4","Fusarium","East-1","Eastern"
"70","G10.T4.R1_L2",17.3716,7.3375,2.321,"G10.T4.R1","L2","R1","Aureobasidium","East-1","Eastern"
"71","G10.T4.R1_L3",12.9739,3.6722,0.6349,"G10.T4.R1","L3","R1","Aureobasidium","East-1","Eastern"
"72","G10.T4.R2_L1",33.1697,7.3181,1.8706,"G10.T4.R2","L1","R2","Aureobasidium","East-1","Eastern"
"73","G10.T4.R2_L3",24.0114,7.5323,2.3473,"G10.T4.R2","L3","R2","Aureobasidium","East-1","Eastern"
"74","G10.T4.R3_L1",31.806,7.342,2.0164,"G10.T4.R3","L1","R3","Aureobasidium","East-1","Eastern"
"75","G10.T4.R3_L2",34.7019,14.752,6.0406,"G10.T4.R3","L2","R3","Aureobasidium","East-1","Eastern"
"76","G10.T4.R3_L3",31.7522,11.1526,4.645,"G10.T4.R3","L3","R3","Aureobasidium","East-1","Eastern"
"77","G10.T4.R4_L1",61.3161,29.1069,9.9554,"G10.T4.R4","L1","R4","Aureobasidium","East-1","Eastern"
"78","G10.T4.R4_L2",63.3225,32.7332,9.1187,"G10.T4.R4","L2","R4","Aureobasidium","East-1","Eastern"
"79","G10.T4.R4_L3",53.6627,11.5746,2.9743,"G10.T4.R4","L3","R4","Aureobasidium","East-1","Eastern"
"80","G10.T5.R1_L1",18.419,8.375,1.9237,"G10.T5.R1","L1","R1","Dioszegia","East-1","Eastern"
"81","G10.T5.R2_L1",32.1838,3.206,0.395,"G10.T5.R2","L1","R2","Dioszegia","East-1","Eastern"
"82","G10.T5.R2_L2",32.0828,12.2911,4.2168,"G10.T5.R2","L2","R2","Dioszegia","East-1","Eastern"
"83","G10.T5.R2_L3",19.7663,4.1709,1.258,"G10.T5.R2","L3","R2","Dioszegia","East-1","Eastern"
"84","G10.T5.R3_L2",12.0952,1.7973,0.1797,"G10.T5.R3","L2","R3","Dioszegia","East-1","Eastern"
"85","G10.T5.R3_L3",10.9854,1.0107,0.0793,"G10.T5.R3","L3","R3","Dioszegia","East-1","Eastern"
"86","G10.T5.R4_L1",38.5863,3.0526,0.4505,"G10.T5.R4","L1","R4","Dioszegia","East-1","Eastern"
"87","G10.T5.R4_L2",46.0165,11.3534,2.8791,"G10.T5.R4","L2","R4","Dioszegia","East-1","Eastern"
"88","G10.T5.R4_L3",55.1459,9.5407,2.4904,"G10.T5.R4","L3","R4","Dioszegia","East-1","Eastern"
"89","G10.T6.R1_L1",20.5504,2.8175,0.0212,"G10.T6.R1","L1","R1","Control","East-1","Eastern"
"90","G10.T6.R1_L2",14.1013,2.0257,0.0174,"G10.T6.R1","L2","R1","Control","East-1","Eastern"
"91","G10.T6.R1_L3",8.4392,1.0772,0.0032,"G10.T6.R1","L3","R1","Control","East-1","Eastern"
"92","G10.T6.R2_L1",9.1336,2.6885,0.3708,"G10.T6.R2","L1","R2","Control","East-1","Eastern"
"93","G10.T6.R2_L3",7.8418,2.0787,0.6322,"G10.T6.R2","L3","R2","Control","East-1","Eastern"
"94","G10.T6.R3_L2",48.4755,29.653,14.8072,"G10.T6.R3","L2","R3","Control","East-1","Eastern"
"95","G10.T6.R3_L3",36.5306,7.551,2.2192,"G10.T6.R3","L3","R3","Control","East-1","Eastern"
"96","G10.T6.R4_L3",24.0041,4.6662,0.4128,"G10.T6.R4","L3","R4","Control","East-1","Eastern"
"97","G11.T1.R1_L1",42.7891,12.083,0.4899,"G11.T1.R1","L1","R1","Alternaria","East-2","Eastern"
"98","G11.T1.R1_L2",37.1509,9.1463,0.3154,"G11.T1.R1","L2","R1","Alternaria","East-2","Eastern"
"99","G11.T1.R1_L3",29.9387,5.0592,0.1483,"G11.T1.R1","L3","R1","Alternaria","East-2","Eastern"
"100","G11.T1.R2_L1",18.0394,3.4184,0.1447,"G11.T1.R2","L1","R2","Alternaria","East-2","Eastern"
"101","G11.T1.R2_L2",21.3565,2.4192,0.1636,"G11.T1.R2","L2","R2","Alternaria","East-2","Eastern"
