"","Sample","Leaf_cm2","Lesion_cm2","Rust_cm2","SampID","Leaf","Replicate","Treatment","Genotype","Region"
"228","G2.T6.R5_L3",72.918,0.2255,0,"G2.T6.R5","L3","R5","Control","West-6","Western"
"229","G3.T1.R2_L1",45.5682,0.3312,0.0062,"G3.T1.R2","L1","R2","Alternaria","West-3","Western"
"230","G3.T1.R3_L1",42.4225,0.1094,0.0046,"G3.T1.R3","L1","R3","Alternaria","West-3","Western"
"231","G3.T1.R3_L3",37.8662,0.233,0.0042,"G3.T1.R3","L3","R3","Alternaria","West-3","Western"
"232","G3.T1.R5_L1",39.3576,0.7331,0.0229,"G3.T1.R5","L1","R5","Alternaria","West-3","Western"
"233","G3.T1.R5_L3",44.4425,0.5372,0.0064,"G3.T1.R5","L3","R5","Alternaria","West-3","Western"
"234","G3.T2.R1_L1",61.3881,0.3545,0.0183,"G3.T2.R1","L1","R1","Cladosporium","West-3","Western"
"235","G3.T2.R1_L2",80.417,0.3737,0.0155,"G3.T2.R1","L2","R1","Cladosporium","West-3","Western"
"236","G3.T2.R1_L3",58.6277,0.2961,0.0086,"G3.T2.R1","L3","R1","Cladosporium","West-3","Western"
"237","G3.T2.R2_L1",57.6436,0.0964,0,"G3.T2.R2","L1","R2","Cladosporium","West-3","Western"
"238","G3.T2.R2_L2",45.4261,0.0924,9e-04,"G3.T2.R2","L2","R2","Cladosporium","West-3","Western"
"239","G3.T2.R2_L3",50.6241,0.176,0.0034,"G3.T2.R2","L3","R2","Cladosporium","West-3","Western"
"240","G3.T2.R3_L2",40.0688,0.5378,0.0385,"G3.T2.R3","L2","R3","Cladosporium","West-3","Western"
"241","G3.T2.R3_L3",44.5536,0.2412,0.0068,"G3.T2.R3","L3","R3","Cladosporium","West-3","Western"
"242","G3.T2.R4_L1",21.8859,0.3589,0.0055,"G3.T2.R4","L1","R4","Cladosporium","West-3","Western"
"243","G3.T2.R5_L1",34.8764,0.3036,0.0085,"G3.T2.R5","L1","R5","Cladosporium","West-3","Western"
"244","G3.T2.R5_L2",45.6486,0.1874,0.0074,"G3.T2.R5","L2","R5","Cladosporium","West-3","Western"
"245","G3.T3.R1_L1",9.6476,0.1155,2e-04,"G3.T3.R1","L1","R1","Fusarium","West-3","Western"
"246","G3.T3.R1_L3",7.6524,0.6907,0.0203,"G3.T3.R1","L3","R1","Fusarium","West-3","Western"
"247","G3.T3.R2_L1",51.5716,0.0164,0,"G3.T3.R2","L1","R2","Fusarium","West-3","Western"
"248","G3.T3.R2_L2",64.2084,0.0843,0,"G3.T3.R2","L2","R2","Fusarium","West-3","Western"
"249","G3.T3.R2_L3",54.6359,0.137,0.0021,"G3.T3.R2","L3","R2","Fusarium","West-3","Western"
"250","G3.T3.R4_L1",47.4262,0.0942,0,"G3.T3.R4","L1","R4","Fusarium","West-3","Western"
"251","G3.T3.R4_L2",64.2244,0.4705,0.0264,"G3.T3.R4","L2","R4","Fusarium","West-3","Western"
"252","G3.T3.R5_L1",45.795,0.0663,0.0017,"G3.T3.R5","L1","R5","Fusarium","West-3","Western"
"253","G3.T3.R5_L3",18.687,0.0443,0,"G3.T3.R5","L3","R5","Fusarium","West-3","Western"
"254","G3.T4.R1_L1",53.8192,1.0495,0.028,"G3.T4.R1","L1","R1","Aureobasidium","West-3","Western"
"255","G3.T4.R1_L2",62.3141,0.476,0.0081,"G3.T4.R1","L2","R1","Aureobasidium","West-3","Western"
"256","G3.T4.R1_L3",62.9023,0.8012,0.0606,"G3.T4.R1","L3","R1","Aureobasidium","West-3","Western"
"257","G3.T4.R2_L1",29.9007,2.3715,0.1589,"G3.T4.R2","L1","R2","Aureobasidium","West-3","Western"
"258","G3.T4.R2_L2",18.9996,1.7888,0.0654,"G3.T4.R2","L2","R2","Aureobasidium","West-3","Western"
"259","G3.T4.R2_L3",14.2159,0.2593,0.0084,"G3.T4.R2","L3","R2","Aureobasidium","West-3","Western"
"260","G3.T4.R3_L1",32.9742,0.1079,0.0038,"G3.T4.R3","L1","R3","Aureobasidium","West-3","Western"
"261","G3.T4.R3_L2",45.9153,0.1041,0.0014,"G3.T4.R3","L2","R3","Aureobasidium","West-3","Western"
"262","G3.T4.R4_L1",41.7244,0.2507,8e-04,"G3.T4.R4","L1","R4","Aureobasidium","West-3","Western"
"263","G3.T4.R4_L2",49.8937,0.574,0.0467,"G3.T4.R4","L2","R4","Aureobasidium","West-3","Western"
"264","G3.T4.R5_L1",42.2726,0.1352,0.0011,"G3.T4.R5","L1","R5","Aureobasidium","West-3","Western"
"265","G3.T4.R5_L2",23.0585,0.0894,2e-04,"G3.T4.R5","L2","R5","Aureobasidium","West-3","Western"
"266","G3.T4.R5_L3",34.8317,0.2559,0.0068,"G3.T4.R5","L3","R5","Aureobasidium","West-3","Western"
"267","G3.T5.R1_L1",40.4057,0.7235,0.0416,"G3.T5.R1","L1","R1","Dioszegia","West-3","Western"
"268","G3.T5.R1_L2",33.0539,1.2959,0.0809,"G3.T5.R1","L2","R1","Dioszegia","West-3","Western"
"269","G3.T5.R2_L1",56.6229,0.3827,0.008,"G3.T5.R2","L1","R2","Dioszegia","West-3","Western"
"270","G3.T5.R2_L2",63.6001,0.1655,0.0013,"G3.T5.R2","L2","R2","Dioszegia","West-3","Western"
"271","G3.T5.R3_L1",56.7653,0.4355,0.008,"G3.T5.R3","L1","R3","Dioszegia","West-3","Western"
"272","G3.T5.R3_L2",58.5523,1.9281,0.0869,"G3.T5.R3","L2","R3","Dioszegia","West-3","Western"
"273","G3.T5.R3_L3",51.7351,0.3978,0.0098,"G3.T5.R3","L3","R3","Dioszegia","West-3","Western"
"274","G3.T5.R4_L1",18.6019,0.3884,0.0227,"G3.T5.R4","L1","R4","Dioszegia","West-3","Western"
"275","G3.T5.R4_L2",31.9865,0.3096,0.026,"G3.T5.R4","L2","R4","Dioszegia","West-3","Western"
"276","G3.T5.R4_L3",32.5318,0.1684,0.0018,"G3.T5.R4","L3","R4","Dioszegia","West-3","Western"
"277","G3.T5.R5_L2",52.666,0.0708,0,"G3.T5.R5","L2","R5","Dioszegia","West-3","Western"
"278","G3.T5.R5_L3",42.1198,0.0727,1e-04,"G3.T5.R5","L3","R5","Dioszegia","West-3","Western"
"279","G3.T6.R2_L1",52.2733,0.6758,0.0276,"G3.T6.R2","L1","R2","Control","West-3","Western"
"280","G3.T6.R2_L2",79.371,0.4497,0.0223,"G3.T6.R2","L2","R2","Control","West-3","Western"
"281","G3.T6.R2_L3",41.0711,3.2369,0.2365,"G3.T6.R2","L3","R2","Control","West-3","Western"
"282","G3.T6.R3_L1",37.491,0.9625,0.0192,"G3.T6.R3","L1","R3","Control","West-3","Western"
"283","G3.T6.R3_L2",21.9613,0.6038,0.0394,"G3.T6.R3","L2","R3","Control","West-3","Western"
"284","G3.T6.R3_L3",26.4076,0.9988,0.082,"G3.T6.R3","L3","R3","Control","West-3","Western"
"285","G3.T6.R4_L1",57.4527,1.2022,0.1088,"G3.T6.R4","L1","R4","Control","West-3","Western"
"286","G3.T6.R4_L2",56.5006,1.2879,0.1256,"G3.T6.R4","L2","R4","Control","West-3","Western"
"287","G3.T6.R5_L1",64.2656,0.0876,0,"G3.T6.R5","L1","R5","Control","West-3","Western"
"288","G3.T6.R5_L2",56.3339,0.1048,0.0014,"G3.T6.R5","L2","R5","Control","West-3","Western"
"289","G3.T6.R5_L3",55.8817,0.112,0,"G3.T6.R5","L3","R5","Control","West-3","Western"
"290","G4.T1.R1_L1",27.3347,0.2858,0.0035,"G4.T1.R1","L1","R1","Alternaria","West-4","Western"
"291","G4.T1.R2_L1",25.8145,1.5544,0.1069,"G4.T1.R2","L1","R2","Alternaria","West-4","Western"
"292","G4.T1.R2_L2",16.4997,1.1388,0.0203,"G4.T1.R2","L2","R2","Alternaria","West-4","Western"
"293","G4.T1.R2_L3",25.295,2.7346,0.0773,"G4.T1.R2","L3","R2","Alternaria","West-4","Western"
"294","G4.T1.R3_L1",27.6078,0.6619,0.0143,"G4.T1.R3","L1","R3","Alternaria","West-4","Western"
"295","G4.T1.R4_L1",35.2086,0.2954,0.001,"G4.T1.R4","L1","R4","Alternaria","West-4","Western"
"296","G4.T1.R4_L2",19.7687,0.5053,0.0074,"G4.T1.R4","L2","R4","Alternaria","West-4","Western"
"297","G4.T1.R4_L3",20.071,0.088,8e-04,"G4.T1.R4","L3","R4","Alternaria","West-4","Western"
"298","G4.T1.R5_L2",17.6783,0.1143,8e-04,"G4.T1.R5","L2","R5","Alternaria","West-4","Western"
"299","G4.T1.R5_L3",11.3916,1.1182,0.0771,"G4.T1.R5","L3","R5","Alternaria","West-4","Western"
"300","G4.T2.R1_L1",27.4248,0.1347,1e-04,"G4.T2.R1","L1","R1","Cladosporium","West-4","Western"
"301","G4.T2.R2_L1",49.9736,0.5732,7e-04,"G4.T2.R2","L1","R2","Cladosporium","West-4","Western"
"302","G4.T2.R2_L2",46.0517,0.3737,0.0036,"G4.T2.R2","L2","R2","Cladosporium","West-4","Western"
"303","G4.T2.R3_L1",12.0599,0.4481,0.0269,"G4.T2.R3","L1","R3","Cladosporium","West-4","Western"
"304","G4.T2.R4_L1",35.228,0.4366,0.0166,"G4.T2.R4","L1","R4","Cladosporium","West-4","Western"
"305","G4.T2.R4_L2",29.7639,0.4811,0.0076,"G4.T2.R4","L2","R4","Cladosporium","West-4","Western"
"306","G4.T2.R4_L3",25.2877,0.5336,0.0121,"G4.T2.R4","L3","R4","Cladosporium","West-4","Western"
"307","G4.T2.R5_L1",12.3508,0.4201,0.027,"G4.T2.R5","L1","R5","Cladosporium","West-4","Western"
"308","G4.T2.R5_L2",12.4954,0.4628,0.0257,"G4.T2.R5","L2","R5","Cladosporium","West-4","Western"
"309","G4.T2.R5_L3",12.6342,1.9682,0.358,"G4.T2.R5","L3","R5","Cladosporium","West-4","Western"
"310","G4.T3.R1_L1",44.5074,0.1834,6e-04,"G4.T3.R1","L1","R1","Fusarium","West-4","Western"
"311","G4.T3.R2_L1",19.7027,0.7509,0.0201,"G4.T3.R2","L1","R2","Fusarium","West-4","Western"
"312","G4.T3.R3_L1",40.9915,1.1464,0.0289,"G4.T3.R3","L1","R3","Fusarium","West-4","Western"
"313","G4.T3.R3_L3",34.9332,0.2908,0.003,"G4.T3.R3","L3","R3","Fusarium","West-4","Western"
"314","G4.T3.R4_L1",13.7453,0.465,0.0026,"G4.T3.R4","L1","R4","Fusarium","West-4","Western"
"315","G4.T3.R4_L2",20.4957,0.4642,1e-04,"G4.T3.R4","L2","R4","Fusarium","West-4","Western"
"316","G4.T3.R4_L3",13.987,0.774,0.0275,"G4.T3.R4","L3","R4","Fusarium","West-4","Western"
"317","G4.T3.R5_L1",30.466,0.3156,0.0028,"G4.T3.R5","L1","R5","Fusarium","West-4","Western"
"318","G4.T3.R5_L2",25.5496,0.6262,0.0111,"G4.T3.R5","L2","R5","Fusarium","West-4","Western"
"319","G4.T3.R5_L3",15.7055,0.0949,2e-04,"G4.T3.R5","L3","R5","Fusarium","West-4","Western"
"320","G4.T4.R1_L1",33.6949,1.647,0.0386,"G4.T4.R1","L1","R1","Aureobasidium","West-4","Western"
"321","G4.T4.R1_L2",23.2801,1.566,0.08,"G4.T4.R1","L2","R1","Aureobasidium","West-4","Western"
"322","G4.T4.R3_L1",23.5316,0.1151,0.0035,"G4.T4.R3","L1","R3","Aureobasidium","West-4","Western"
"323","G4.T4.R3_L3",30.5193,0.0391,0,"G4.T4.R3","L3","R3","Aureobasidium","West-4","Western"
"324","G4.T4.R4_L2",43.6147,0.3941,0.002,"G4.T4.R4","L2","R4","Aureobasidium","West-4","Western"
"325","G4.T4.R4_L3",43.513,0.2462,0.0033,"G4.T4.R4","L3","R4","Aureobasidium","West-4","Western"
"326","G4.T4.R5_L1",16.8422,1.0513,0.0791,"G4.T4.R5","L1","R5","Aureobasidium","West-4","Western"
"327","G4.T4.R5_L2",15.2181,0.6985,0.0217,"G4.T4.R5","L2","R5","Aureobasidium","West-4","Western"
"328","G4.T5.R1_L1",26.4284,0.8592,0.0081,"G4.T5.R1","L1","R1","Dioszegia","West-4","Western"
"329","G4.T5.R2_L1",35.9722,0.3655,4e-04,"G4.T5.R2","L1","R2","Dioszegia","West-4","Western"
"330","G4.T5.R2_L2",42.6925,0.1232,0,"G4.T5.R2","L2","R2","Dioszegia","West-4","Western"
"331","G4.T5.R3_L1",50.3662,0.7164,0.0114,"G4.T5.R3","L1","R3","Dioszegia","West-4","Western"
"332","G4.T5.R3_L2",60.8943,1.1952,0.0281,"G4.T5.R3","L2","R3","Dioszegia","West-4","Western"
"333","G4.T5.R3_L3",44.4774,0.5346,0.002,"G4.T5.R3","L3","R3","Dioszegia","West-4","Western"
"334","G4.T5.R4_L1",29.9231,0.7562,0.001,"G4.T5.R4","L1","R4","Dioszegia","West-4","Western"
"335","G4.T5.R5_L1",7.9621,0.829,0.1019,"G4.T5.R5","L1","R5","Dioszegia","West-4","Western"
"336","G4.T5.R5_L2",13.079,2e-04,0,"G4.T5.R5","L2","R5","Dioszegia","West-4","Western"
"337","G4.T5.R5_L3",8.6028,0.8296,0.1155,"G4.T5.R5","L3","R5","Dioszegia","West-4","Western"
"338","G4.T6.R1_L1",73.863,0.0634,1e-04,"G4.T6.R1","L1","R1","Control","West-4","Western"
"339","G4.T6.R1_L2",63.4186,0.9639,0.0243,"G4.T6.R1","L2","R1","Control","West-4","Western"
"340","G4.T6.R1_L3",34.7949,0.1378,0.0027,"G4.T6.R1","L3","R1","Control","West-4","Western"
"341","G4.T6.R2_L1",60.5207,0.2372,0.0043,"G4.T6.R2","L1","R2","Control","West-4","Western"
"342","G4.T6.R2_L2",43.8141,0.9348,0.012,"G4.T6.R2","L2","R2","Control","West-4","Western"
"343","G4.T6.R2_L3",44.0151,0.3492,0.0045,"G4.T6.R2","L3","R2","Control","West-4","Western"
"344","G4.T6.R3_L1",18.6886,1.9233,0.1145,"G4.T6.R3","L1","R3","Control","West-4","Western"
"345","G4.T6.R3_L2",21.9918,3.7025,0.4089,"G4.T6.R3","L2","R3","Control","West-4","Western"
"346","G4.T6.R3_L3",11.8384,2.3336,0.2213,"G4.T6.R3","L3","R3","Control","West-4","Western"
"347","G4.T6.R4_L1",25.0574,1.1244,0.0015,"G4.T6.R4","L1","R4","Control","West-4","Western"
"348","G4.T6.R4_L2",27.0937,1.4265,0.0366,"G4.T6.R4","L2","R4","Control","West-4","Western"
"349","G4.T6.R4_L3",15.0885,0.983,0.0143,"G4.T6.R4","L3","R4","Control","West-4","Western"
"350","G4.T6.R5_L1",19.7358,0.5935,0.0118,"G4.T6.R5","L1","R5","Control","West-4","Western"
"351","G4.T6.R5_L2",14.0966,1.0499,0.0484,"G4.T6.R5","L2","R5","Control","West-4","Western"
"352","G5.T1.R1_L1",24.3043,4.2401,0.4776,"G5.T1.R1","L1","R1","Alternaria","East-3","Eastern"
"353","G5.T1.R1_L2",20.1184,5.9011,0.6626,"G5.T1.R1","L2","R1","Alternaria","East-3","Eastern"
"354","G5.T1.R1_L3",15.2158,1.7664,0.2148,"G5.T1.R1","L3","R1","Alternaria","East-3","Eastern"
"355","G5.T1.R2_L1",12.3685,2.4977,0.1867,"G5.T1.R2","L1","R2","Alternaria","East-3","Eastern"
"356","G5.T1.R2_L2",12.1862,3.6058,0.9575,"G5.T1.R2","L2","R2","Alternaria","East-3","Eastern"
"357","G5.T1.R2_L3",13.9552,2.8033,0.4959,"G5.T1.R2","L3","R2","Alternaria","East-3","Eastern"
"358","G5.T1.R3_L2",16.4674,1.1053,0.11,"G5.T1.R3","L2","R3","Alternaria","East-3","Eastern"
"359","G5.T1.R3_L3",15.8676,1.9328,0.3441,"G5.T1.R3","L3","R3","Alternaria","East-3","Eastern"
"360","G5.T1.R4_L1",38.1861,1.3558,0.0416,"G5.T1.R4","L1","R4","Alternaria","East-3","Eastern"
"361","G5.T2.R1_L1",30.7622,4.0902,0.4971,"G5.T2.R1","L1","R1","Cladosporium","East-3","Eastern"
"362","G5.T2.R1_L2",46.6403,8.9865,1.8919,"G5.T2.R1","L2","R1","Cladosporium","East-3","Eastern"
"363","G5.T2.R1_L3",46.7639,6.1843,0.7131,"G5.T2.R1","L3","R1","Cladosporium","East-3","Eastern"
"364","G5.T2.R2_L1",8.619,1.4762,0.1555,"G5.T2.R2","L1","R2","Cladosporium","East-3","Eastern"
"365","G5.T2.R2_L2",8.9018,0.7701,0.0254,"G5.T2.R2","L2","R2","Cladosporium","East-3","Eastern"
"366","G5.T2.R2_L3",9.735,1.4214,0.144,"G5.T2.R2","L3","R2","Cladosporium","East-3","Eastern"
"367","G5.T2.R3_L1",33.393,1.7553,0.1109,"G5.T2.R3","L1","R3","Cladosporium","East-3","Eastern"
"368","G5.T2.R3_L2",27.5605,0.6397,0.0338,"G5.T2.R3","L2","R3","Cladosporium","East-3","Eastern"
"369","G5.T2.R4_L2",12.5716,3.137,0.9312,"G5.T2.R4","L2","R4","Cladosporium","East-3","Eastern"
"370","G5.T3.R1_L1",24.0419,0.9289,0.0979,"G5.T3.R1","L1","R1","Fusarium","East-3","Eastern"
"371","G5.T3.R1_L3",21.1967,1.0513,0.0496,"G5.T3.R1","L3","R1","Fusarium","East-3","Eastern"
"372","G5.T3.R2_L1",20.7764,3.9017,0.3465,"G5.T3.R2","L1","R2","Fusarium","East-3","Eastern"
"373","G5.T3.R2_L2",14.5122,1.2576,0.0625,"G5.T3.R2","L2","R2","Fusarium","East-3","Eastern"
"374","G5.T3.R3_L2",20.0739,5.1095,0.8868,"G5.T3.R3","L2","R3","Fusarium","East-3","Eastern"
"375","G5.T3.R4_L1",28.2023,1.5668,0.27,"G5.T3.R4","L1","R4","Fusarium","East-3","Eastern"
"376","G5.T3.R4_L2",36.6549,9.3495,2.2804,"G5.T3.R4","L2","R4","Fusarium","East-3","Eastern"
"377","G5.T3.R4_L3",24.2219,2.5106,0.1015,"G5.T3.R4","L3","R4","Fusarium","East-3","Eastern"
"378","G5.T4.R2_L1",17.475,4.7675,0.8697,"G5.T4.R2","L1","R2","Aureobasidium","East-3","Eastern"
"379","G5.T4.R2_L2",24.7033,6.0179,1.596,"G5.T4.R2","L2","R2","Aureobasidium","East-3","Eastern"
"380","G5.T4.R2_L3",24.8727,3.8181,0.6535,"G5.T4.R2","L3","R2","Aureobasidium","East-3","Eastern"
"381","G5.T4.R3_L2",13.9002,0.8578,0.1289,"G5.T4.R3","L2","R3","Aureobasidium","East-3","Eastern"
"382","G5.T4.R3_L3",23.0055,1.7013,0.1413,"G5.T4.R3","L3","R3","Aureobasidium","East-3","Eastern"
"383","G5.T4.R4_L3",30.381,2.2174,0.2912,"G5.T4.R4","L3","R4","Aureobasidium","East-3","Eastern"
"384","G5.T5.R3_L2",14.7265,0.7487,0.0751,"G5.T5.R3","L2","R3","Dioszegia","East-3","Eastern"
"385","G5.T5.R3_L3",22.3783,2.2408,0.0815,"G5.T5.R3","L3","R3","Dioszegia","East-3","Eastern"
"386","G5.T5.R4_L1",26.2165,2.888,0.3797,"G5.T5.R4","L1","R4","Dioszegia","East-3","Eastern"
"387","G5.T5.R4_L2",28.5365,2.5898,0.2116,"G5.T5.R4","L2","R4","Dioszegia","East-3","Eastern"
"388","G5.T5.R4_L3",27.6915,2.693,0.2129,"G5.T5.R4","L3","R4","Dioszegia","East-3","Eastern"
"389","G5.T6.R1_L2",14.8094,1.8393,0.112,"G5.T6.R1","L2","R1","Control","East-3","Eastern"
"390","G5.T6.R2_L1",26.3711,5.8076,1.076,"G5.T6.R2","L1","R2","Control","East-3","Eastern"
"391","G5.T6.R2_L2",29.452,6.5685,1.7447,"G5.T6.R2","L2","R2","Control","East-3","Eastern"
"392","G5.T6.R2_L3",52.0698,12.5083,2.4034,"G5.T6.R2","L3","R2","Control","East-3","Eastern"
"393","G5.T6.R3_L1",11.1699,3.5925,0.6861,"G5.T6.R3","L1","R3","Control","East-3","Eastern"
"394","G5.T6.R3_L2",19.7158,2.3617,0.1716,"G5.T6.R3","L2","R3","Control","East-3","Eastern"
"395","G5.T6.R3_L3",18.3036,2.6305,0.5057,"G5.T6.R3","L3","R3","Control","East-3","Eastern"
"396","G5.T6.R4_L1",38.471,1.3442,0.1116,"G5.T6.R4","L1","R4","Control","East-3","Eastern"
"397","G5.T6.R4_L2",46.1738,7.177,1.1771,"G5.T6.R4","L2","R4","Control","East-3","Eastern"
"398","G5.T6.R4_L3",43.0011,5.3402,0.8226,"G5.T6.R4","L3","R4","Control","East-3","Eastern"
"399","G6.T1.R1_L2",39.6159,0.4209,0.0063,"G6.T1.R1","L2","R1","Alternaria","West-2","Western"
"400","G6.T1.R1_L3",35.1198,0.1064,0,"G6.T1.R1","L3","R1","Alternaria","West-2","Western"
"401","G6.T1.R2_L1",66.9742,0.322,0.001,"G6.T1.R2","L1","R2","Alternaria","West-2","Western"
"402","G6.T1.R2_L2",49.2877,0.0575,0,"G6.T1.R2","L2","R2","Alternaria","West-2","Western"
"403","G6.T1.R2_L3",60.7143,0.7487,0.0012,"G6.T1.R2","L3","R2","Alternaria","West-2","Western"
"404","G6.T1.R3_L1",13.8092,0.0883,0.0028,"G6.T1.R3","L1","R3","Alternaria","West-2","Western"
"405","G6.T1.R3_L3",20.6238,0.3649,0.0234,"G6.T1.R3","L3","R3","Alternaria","West-2","Western"
"406","G6.T1.R4_L1",79.6871,0.0208,0,"G6.T1.R4","L1","R4","Alternaria","West-2","Western"
"407","G6.T1.R4_L2",73.932,0.0429,0,"G6.T1.R4","L2","R4","Alternaria","West-2","Western"
"408","G6.T1.R4_L3",69.1267,0.0702,0,"G6.T1.R4","L3","R4","Alternaria","West-2","Western"
"409","G6.T1.R5_L1",22.7475,0.1235,0.004,"G6.T1.R5","L1","R5","Alternaria","West-2","Western"
"410","G6.T1.R5_L2",15.4213,0.6278,0.0269,"G6.T1.R5","L2","R5","Alternaria","West-2","Western"
"411","G6.T2.R1_L1",22.1191,0.105,0.0034,"G6.T2.R1","L1","R1","Cladosporium","West-2","Western"
"412","G6.T2.R1_L2",19.4166,0.3305,0.0033,"G6.T2.R1","L2","R1","Cladosporium","West-2","Western"
"413","G6.T2.R1_L3",19.3678,0.0781,0.0013,"G6.T2.R1","L3","R1","Cladosporium","West-2","Western"
"414","G6.T2.R2_L1",38.9151,0.2912,0,"G6.T2.R2","L1","R2","Cladosporium","West-2","Western"
"415","G6.T2.R2_L2",48.902,1.1803,0.0195,"G6.T2.R2","L2","R2","Cladosporium","West-2","Western"
"416","G6.T2.R2_L3",38.2872,0.1392,2e-04,"G6.T2.R2","L3","R2","Cladosporium","West-2","Western"
"417","G6.T2.R3_L2",32.5124,0.0731,0,"G6.T2.R3","L2","R3","Cladosporium","West-2","Western"
"418","G6.T2.R3_L3",39.5111,0.0193,0,"G6.T2.R3","L3","R3","Cladosporium","West-2","Western"
"419","G6.T2.R4_L2",35.8284,0.027,0,"G6.T2.R4","L2","R4","Cladosporium","West-2","Western"
"420","G6.T3.R1_L1",66.2825,0.0465,0,"G6.T3.R1","L1","R1","Fusarium","West-2","Western"
"421","G6.T3.R1_L2",62.7333,0.0488,0,"G6.T3.R1","L2","R1","Fusarium","West-2","Western"
"422","G6.T3.R1_L3",80.0419,0.1104,0,"G6.T3.R1","L3","R1","Fusarium","West-2","Western"
"423","G6.T3.R2_L1",64.7024,0.0157,0,"G6.T3.R2","L1","R2","Fusarium","West-2","Western"
"424","G6.T3.R2_L2",64.4572,0.024,0,"G6.T3.R2","L2","R2","Fusarium","West-2","Western"
"425","G6.T3.R4_L1",72.3671,0.0961,0,"G6.T3.R4","L1","R4","Fusarium","West-2","Western"
"426","G6.T3.R4_L2",66.0815,0.191,5e-04,"G6.T3.R4","L2","R4","Fusarium","West-2","Western"
"427","G6.T3.R5_L1",28.4179,0.1201,0,"G6.T3.R5","L1","R5","Fusarium","West-2","Western"
"428","G6.T3.R5_L2",20.4943,0.0084,0,"G6.T3.R5","L2","R5","Fusarium","West-2","Western"
"429","G6.T3.R5_L3",19.2822,0.1416,9e-04,"G6.T3.R5","L3","R5","Fusarium","West-2","Western"
"430","G6.T4.R1_L1",75.7637,0.1288,0,"G6.T4.R1","L1","R1","Aureobasidium","West-2","Western"
"431","G6.T4.R1_L3",96.1198,0.0731,0,"G6.T4.R1","L3","R1","Aureobasidium","West-2","Western"
"432","G6.T4.R2_L2",84.137,0.7222,0.0012,"G6.T4.R2","L2","R2","Aureobasidium","West-2","Western"
"433","G6.T4.R2_L3",51.3652,0.2043,0,"G6.T4.R2","L3","R2","Aureobasidium","West-2","Western"
"434","G6.T4.R3_L1",55.4686,0.1311,9e-04,"G6.T4.R3","L1","R3","Aureobasidium","West-2","Western"
"435","G6.T4.R3_L2",81.3318,0.3341,0.0015,"G6.T4.R3","L2","R3","Aureobasidium","West-2","Western"
"436","G6.T4.R3_L3",70.5087,0.6417,5e-04,"G6.T4.R3","L3","R3","Aureobasidium","West-2","Western"
"437","G6.T4.R4_L2",61.6962,0.6161,0.0012,"G6.T4.R4","L2","R4","Aureobasidium","West-2","Western"
"438","G6.T4.R4_L3",60.3024,0.3846,0.0021,"G6.T4.R4","L3","R4","Aureobasidium","West-2","Western"
"439","G6.T4.R5_L1",53.9926,0.0801,0,"G6.T4.R5","L1","R5","Aureobasidium","West-2","Western"
"440","G6.T4.R5_L2",41.3494,0.0645,0,"G6.T4.R5","L2","R5","Aureobasidium","West-2","Western"
"441","G6.T4.R5_L3",48.0486,0.0386,0,"G6.T4.R5","L3","R5","Aureobasidium","West-2","Western"
"442","G6.T5.R1_L1",43.6479,0.6294,0.0025,"G6.T5.R1","L1","R1","Dioszegia","West-2","Western"
"443","G6.T5.R2_L2",65.9703,0.0251,0,"G6.T5.R2","L2","R2","Dioszegia","West-2","Western"
"444","G6.T5.R2_L3",59.9423,0.0483,0,"G6.T5.R2","L3","R2","Dioszegia","West-2","Western"
"445","G6.T5.R3_L1",72.5516,0.1137,0,"G6.T5.R3","L1","R3","Dioszegia","West-2","Western"
"446","G6.T5.R3_L2",79.0057,0.0494,0,"G6.T5.R3","L2","R3","Dioszegia","West-2","Western"
"447","G6.T5.R3_L3",77.9376,0.356,1e-04,"G6.T5.R3","L3","R3","Dioszegia","West-2","Western"
"448","G6.T5.R4_L1",61.0987,0.0189,0,"G6.T5.R4","L1","R4","Dioszegia","West-2","Western"
"449","G6.T5.R4_L2",74.143,0.1203,5e-04,"G6.T5.R4","L2","R4","Dioszegia","West-2","Western"
"450","G6.T5.R4_L3",63.701,0.2699,0,"G6.T5.R4","L3","R4","Dioszegia","West-2","Western"
"451","G6.T5.R5_L1",12.186,0.0786,0.0031,"G6.T5.R5","L1","R5","Dioszegia","West-2","Western"
"452","G6.T5.R5_L2",7.995,0.1559,0.0012,"G6.T5.R5","L2","R5","Dioszegia","West-2","Western"
"453","G6.T5.R5_L3",9.3219,0.0245,0,"G6.T5.R5","L3","R5","Dioszegia","West-2","Western"
"454","G6.T6.R1_L1",71.6061,0.1642,0,"G6.T6.R1","L1","R1","Control","West-2","Western"
"455","G6.T6.R2_L1",62.9407,0.1534,0,"G6.T6.R2","L1","R2","Control","West-2","Western"
"456","G6.T6.R2_L2",50.0327,0.4803,0.0073,"G6.T6.R2","L2","R2","Control","West-2","Western"
"457","G6.T6.R2_L3",48.1911,1.3857,0.021,"G6.T6.R2","L3","R2","Control","West-2","Western"
"458","G6.T6.R3_L1",23.1959,0.5605,0.0031,"G6.T6.R3","L1","R3","Control","West-2","Western"
"459","G6.T6.R3_L2",22.7472,0.0708,0,"G6.T6.R3","L2","R3","Control","West-2","Western"
"460","G6.T6.R4_L1",68.5065,0.2626,0,"G6.T6.R4","L1","R4","Control","West-2","Western"
